Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.00041783,0.011271,-0.062317,0,0,0,1.0275,0.00096224,1.373E-09,-1.7501E-09,0.0010372,6.0957E-06,0.0014276,0,0,0,0,0,0,package://hanumanURDFv1/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/body.STL,,body-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R2,5.1195E-12,-0.007935,0.0049359,0,0,0,0.0059458,2.941E-06,-2.483E-16,-3.9623E-15,2.9244E-06,-3.8274E-08,9.8493E-07,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R2.STL,,R2-1,Origin_JR14,Axis_JR14,JR1,continuous,-0.049,0.0104088177516317,-0.132568535154512,1.57387978032368,0,0,body,0,1,0,,,,,,,,,,,,
R3,-2.3368E-05,-0.01515,-0.020816,0,0,0,0.15544,5.5826E-05,-8.8929E-07,-1.9579E-21,3.4649E-05,-8.7464E-07,5.6133E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R3.STL,,R3-1,Origin_JR24,Axis_JR24,JR2,continuous,0,-0.0315,0,0,0,0,R2,0,0,1,,,,,,,,,,,,
R4,-3.7156E-05,-0.10988,0.064502,0,0,0,0.08965,4.1601E-05,7.6136E-07,-4.4445E-07,3.2411E-05,1.1546E-05,4.5766E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R4.STL,,R4-1,Origin_JR34,Axis_JR34,JR3,continuous,0,0,0,0.523598775598301,0,0,R3,1,0,0,,,,,,,,,,,,
R5,2.2898E-16,-0.05816,-0.023497,0,0,0,0.027265,6.4396E-05,2.3077E-20,4.9191E-20,3.9142E-05,-2.6065E-05,5.2842E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R5.STL,,R5-1,Origin_JR44,Axis_JR44,JR4,continuous,0,-0.133733937586588,0.0783660254037848,-1.04719755119658,0,0,R4,1,0,0,,,,,,,,,,,,
R6,-1.949E-05,0.014466,-0.02182,0,0,0,0.15544,5.5826E-05,8.7388E-07,-1.0829E-20,3.4649E-05,8.9004E-07,5.6133E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R6.STL,,R6-1,Origin_JR54,Axis_JR54,JR5,continuous,0,-0.134233937586589,-0.0774999999999979,0.523598775598283,0,0,R5,1,0,0,,,,,,,,,,,,
R7,-0.010368,-0.029152,0.0094603,0,0,0,0.02937,5.2726E-05,-2.4831E-16,3.9623E-15,7.627E-05,-4.0769E-07,2.5035E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R7.STL,,R7-1,Origin_JR64,Axis_JR64,JR6,continuous,0,0,0,0,0,0,R6,0,0,1,,,,,,,,,,,,
L2,5.1196E-12,-0.007935,0.0049359,0,0,0,0.0059458,2.941E-06,-2.4831E-16,-3.9623E-15,2.9244E-06,-3.8274E-08,9.8493E-07,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L2.STL,,L2-1,Origin_JL14,Axis_JL14,JL1,continuous,0.049,0.0104088177516317,-0.132568535154512,1.57387978032368,0,0,body,0,1,0,,,,,,,,,,,,
L3,1.94903609579411E-05,-0.0151499843579775,-0.0208201673886667,0,0,0,0.15544328108956,5.58260684034127E-05,8.73883694619814E-07,7.34053883177235E-21,3.46492828581794E-05,-8.90044715309545E-07,5.61332220076912E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L3.STL,,L3-1,Origin_JL24,Axis_JL24,JL2,continuous,0,-0.0315000000000001,0,0,0,0,L2,0,0,1,,,,,,,,,,,,
L4,3.71560602005702E-05,0.0630194871166002,0.104414323766192,0,0,0,0.0896499629130445,4.16009895691135E-05,5.02197314697277E-07,7.24573527441378E-07,4.36739646160413E-05,-1.25252037868802E-05,3.45030480540803E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L4.STL,,L4-1,Origin_JL34,Axis_JL34,JL3,continuous,0,-0.00573576436351039,0.00919152044288992,2.1816615649929,0,0,L3,1,0,0,,,,,,,,,,,,
L5,4.78783679369599E-16,-0.0183390437380094,0.0599869380999931,0,0,0,0.0272654512429999,6.43959167351525E-05,6.25554376448522E-20,-1.3540095575496E-19,5.72644987666864E-05,2.44798091780557E-05,3.47198773427012E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L5.STL,,L5-1,Origin_JL44,Axis_JL44,JL4,continuous,0,0.0789043476344092,0.126968566864793,-1.0471975511966,0,0,L4,1,0,0,,,,,,,,,,,,
L6,2.33682225148149E-05,-0.0229940897785377,-0.0125097987045415,0,0,0,0.15544328108956,5.58260684034126E-05,7.75063095128783E-08,8.85901171526324E-07,5.58181471321927E-05,-2.72667897496436E-06,3.49643577336778E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L6.STL,,L6-1,Origin_JL54,Axis_JL54,JL5,continuous,0,-0.06550583056981,0.14047770699068,0.523598775598298,0,0,L5,1,0,0,,,,,,,,,,,,
L7,0.010368,0.011965,0.028217,0,0,0,0.02937,5.2726E-05,3.9688E-15,-9.793E-17,2.5495E-05,4.8499E-06,7.581E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L7.STL,,L7-1,Origin_JL64,Axis_JL64,JL6,continuous,0,0,0,0,0,0,L6,0,0.99619,-0.087156,,,,,,,,,,,,
AR2,-0.0122215328030043,-0.00304504079535875,0.00046755664416805,0,0,0,0.00782111452958767,3.46730290731849E-06,-3.56887654541805E-07,5.4799001168357E-08,3.44521472170541E-06,-2.06144819144966E-07,2.13431503339268E-06,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AR2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AR2.STL,,AR2-1,Origin_JAR14,Axis_JAR14,JAR1,continuous,-0.0665,0,-0.0001,1.7262,0,0,body,1,0,0,,,,,,,,,,,,
AR3,-0.0217424355782832,-0.0598709237463328,0.0138089346841776,0,0,0,0.097623535640491,2.66927650742415E-05,-1.51414262049177E-06,-2.59340162798032E-07,2.29946667509428E-05,-4.51570937003064E-07,2.16812046230082E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AR3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AR3.STL,,AR3-1,Origin_JAR24,Axis_JAR24,JAR2,continuous,-0.035,-0.019768322112152,0.00303536503079964,0.00863677948697105,0.0507435699806214,0.337108707096089,AR2,0,0.151768251539982,0.988416105607601,,,,,,,,,,,,
AR4,-0.02644,-0.071968,0.024939,0,0,0,0.026181,1.2943E-05,-2.0731E-06,1.5391E-06,8.4994E-06,4.3075E-06,1.3208E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AR4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AR4.STL,,AR4-1,Origin_JAR34,Axis_JAR34,JAR3,continuous,-0.0391688936407426,-0.105994321647765,0.0375212146577176,-0.401595058674256,0.131487536773221,-0.0485277151924821,AR3,0.942500202763317,-0.330334175028508,0.0507217960973566,,,,,,,,,,,,
AL2,0.0122215328030043,-0.00306297937268113,-0.000330212088565164,0,0,0,0.00782111452958769,3.46730290731849E-06,3.58990108077455E-07,3.87018190261986E-08,3.46107948276652E-06,1.46447551999455E-07,2.11845027233158E-06,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AL2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AL2.STL,,AL2-1,Origin_JAL14,Axis_JAL14,JAL1,continuous,0.0665,0,-0.0001,1.4665,0,0,body,1,0,0,,,,,,,,,,,,
AL3,0.00729277157235909,-0.0647229266668686,-0.00238871067636881,0,0,0,0.0976235356404911,2.71510597381538E-05,5.49545357684409E-07,-2.77333925095466E-07,2.27195249459817E-05,-2.99771975663198E-07,2.14980517640569E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AL3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AL3.STL,,AL3-1,Origin_JAL24,Axis_JAL24,JAL2,continuous,0.035,-0.0198847788687522,-0.00214372790736723,-0.000675234731490389,0.0120468245174906,-0.111983173268338,AL2,0,0.107186395368361,-0.994238943437611,,,,,,,,,,,,
AL4,0.0091358,-0.080103,-0.00065632,0,0,0,0.026181,1.3655E-05,8.9416E-07,-2.43E-07,5.5878E-06,1.9825E-06,1.5407E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AL4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/AL4.STL,,AL4-1,Origin_JAL34,Axis_JAL34,JAL3,continuous,0.0131719485348661,-0.118037455358604,0.00839636256129469,-0.491746944547984,-0.0544973559727831,0.00759729409276157,AL3,0.993664326490195,0.111741162067576,0.0120465331350887,,,,,,,,,,,,
H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://hanumanURDFv1/meshes/H2.STL,1,1,1,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/H2.STL,,H2-1,Origin_JH14,Axis_JH14,JH1,continuous,0,-6.32106971754079E-05,0.0204999025462992,1.57335367827389,0.00172268556231549,-0.592800435653726,body,0,1,0,,,,,,,,,,,,
H3,0.036914,-0.026132,0.056288,0,0,0,0.07019,2.2612E-05,-3.1644E-07,1.9767E-05,5.3237E-05,2.5722E-08,3.8268E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/H3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/H3.STL,,H3-1,Origin_JH24,Axis_JH24,JH2,continuous,0,0.01,0,-0.995509566645158,0.333454125428357,0.600667945155879,H2,0.829378138941034,0,-0.558687661083281,,,,,,,,,,,,
